genome count,number of reads,build time (ns),build mem (bytes),query time (ns),query memory (bytes),recall,precision,avg. read count error
11,100,788066588,59372,219610584,51104,1.0,1.0,0.0
11,1000,788066588,59372,148991713,51368,1.0,1.0,0.0
11,10000,788066588,59372,554269785,51456,1.0,1.0,0.0
11,100000,788066588,59372,4765674841,51588,1.0,1.0,0.0
22,100,1904494024,115072,158730734,93300,1.0,0.9166666666666666,0.0
22,1000,1904494024,115072,197349173,93536,1.0,1.0,1.0909090909090908
22,10000,1904494024,115072,671592528,98256,1.0,0.7857142857142857,0.0
22,100000,1904494024,115072,5503341393,98956,1.0,0.8461538461538461,41.90909090909091
33,100,3340151971,168076,473167221,116744,1.0,1.0,0.0
33,1000,3340151971,168076,240678093,117008,1.0,1.0,0.2727272727272727
33,10000,3340151971,168076,766427166,107628,1.0,0.8461538461538461,0.2727272727272727
33,100000,3340151971,168076,5991812570,131288,1.0,0.8461538461538461,24.363636363636363
44,100,4873637406,223312,339723324,130808,1.0,0.9166666666666666,0.18181818181818182
44,1000,4873637406,223312,299364635,149800,1.0,0.7857142857142857,0.0
44,10000,4873637406,223312,806007276,140424,1.0,0.7333333333333333,0.0
44,100000,4873637406,223312,7089822084,131776,1.0,0.8461538461538461,109.18181818181819
55,100,6404925467,256368,104226677,41736,0.18181818181818182,1.0,0.0
55,1000,6404925467,256368,100751675,32432,0.09090909090909091,1.0,0.0
55,10000,6404925467,256368,368802816,51380,0.18181818181818182,1.0,451.5
55,100000,6404925467,256368,2438561466,52108,0.09090909090909091,0.5,9045.0
66,100,7761631807,289252,455983088,168316,1.0,0.9166666666666666,0.0
66,1000,7761631807,289252,418176039,215680,1.0,0.6111111111111112,0.18181818181818182
66,10000,7761631807,289252,1010282325,201312,1.0,0.6470588235294118,2.272727272727273
66,100000,7761631807,289252,6760653448,192252,1.0,0.7333333333333333,230.27272727272728
77,100,9392235473,292404,494871823,196436,1.0,0.8461538461538461,0.09090909090909091
77,1000,9392235473,292404,378738806,206092,1.0,0.8461538461538461,0.36363636363636365
77,10000,9392235473,292404,1045020404,220404,1.0,0.6875,0.2727272727272727
77,100000,9392235473,292404,7247303861,229992,1.0,0.55,0.0
88,100,11196321574,306424,317898346,182376,1.0,0.7857142857142857,0.0
88,1000,11196321574,306424,489298203,238884,1.0,0.6470588235294118,0.0
88,10000,11196321574,306424,1083819354,224860,1.0,0.5789473684210527,30.181818181818183
88,100000,11196321574,306424,7486417397,230000,1.0,0.5789473684210527,0.0
99,100,12970203142,324788,696563594,224576,1.0,0.6111111111111112,0.0
99,1000,12970203142,324788,407106419,224828,1.0,0.6875,0.18181818181818182
99,10000,12970203142,324788,1144432441,239124,1.0,0.5789473684210527,2.727272727272727
99,100000,12970203142,324788,8199782375,239172,1.0,0.4782608695652174,0.0
