genome count,number of reads,build time (ns),build mem (bytes),query time (ns),query memory (bytes),classification recall,classification precision,filter recall,filter precision,avg. read count error
10,100,252641544,26104,28138509,29748,1.0,1.0,1.0,1.0,0.0
10,1000,252641544,26104,64538973,26852,1.0,1.0,1.0,1.0,0.0
10,10000,252641544,26104,413737897,30188,1.0,0.5,1.0,0.9998750156230471,0.0
10,100000,252641544,26104,4334540127,43832,1.0,0.5,1.0,0.999987500156248,0.0
20,100,494581715,44032,51607975,44720,1.0,0.5,1.0,1.0,0.0
20,1000,494581715,44032,90335615,44720,1.0,0.5,1.0,1.0,0.0
20,10000,494581715,44032,504123615,44720,1.0,1.0,1.0,1.0,0.0
20,100000,494581715,44032,5521192763,35992,1.0,1.0,1.0,1.0,0.0
30,100,1016303047,35992,64789963,40512,1.0,0.75,1.0,1.0,0.0
30,1000,1016303047,35992,113900509,40512,1.0,0.5,1.0,1.0,0.0
30,10000,1016303047,35992,836626301,40512,1.0,0.42857142857142855,1.0,0.9990007494379216,0.0
30,100000,1016303047,35992,7921090543,35992,1.0,0.42857142857142855,1.0,0.9997625504580276,0.0
40,100,902017837,35992,68193210,40512,1.0,1.0,1.0,1.0,0.0
40,1000,902017837,35992,113092553,40512,1.0,0.8,1.0,1.0,0.0
40,10000,902017837,35992,899980640,40520,1.0,0.8,1.0,1.0,425.75
40,100000,902017837,35992,8942197257,36004,1.0,0.4,1.0,0.9999125076555802,0.0
50,100,1105270284,36008,72184009,40532,1.0,0.45454545454545453,1.0,1.0,0.0
50,1000,1105270284,36008,126792814,40540,1.0,0.625,1.0,1.0,25.0
50,10000,1105270284,36008,876552210,40540,1.0,0.625,1.0,0.9997500624843789,0.0
50,100000,1105270284,36008,8169978442,36016,1.0,0.8333333333333334,1.0,0.999950002499875,0.2
60,100,1346054576,36016,77153595,40540,1.0,1.0,1.0,1.0,0.0
60,1000,1346054576,36016,138085072,40540,1.0,0.75,1.0,1.0,0.0
60,10000,1346054576,36016,1064549001,40540,1.0,0.42857142857142855,1.0,0.9998749843730467,0.0
60,100000,1346054576,36016,10790973022,36016,1.0,0.5,1.0,0.9995501911687533,0.16666666666666666
70,100,1642707205,37424,95439941,40540,1.0,0.6363636363636364,1.0,1.0,0.0
70,1000,1642707205,37424,182193719,40540,1.0,0.5384615384615384,1.0,1.0,0.0
70,10000,1642707205,37424,1203430573,40540,1.0,0.5384615384615384,1.0,0.9998749218261413,0.0
70,100000,1642707205,37424,12113691844,35636,1.0,0.4666666666666667,1.0,0.9997125682650371,0.0
80,100,2025335074,39960,154142431,40540,1.0,0.8,1.0,1.0,1.75
80,1000,2025335074,39960,217970952,40540,1.0,0.5333333333333333,1.0,0.9987515605493134,0.0
80,10000,2025335074,39960,1358865666,40540,1.0,0.4444444444444444,1.0,0.9998750156230471,33.375
80,100000,2025335074,39960,13083233273,35636,1.0,0.4,1.0,0.9998000399920016,0.125
90,100,2448220611,39244,118189901,40540,1.0,0.5294117647058824,1.0,1.0,0.4444444444444444
90,1000,2448220611,39244,191101910,40540,1.0,0.6,1.0,1.0,7.888888888888889
90,10000,2448220611,39244,1437965874,40540,1.0,0.47368421052631576,1.0,0.9994997498749375,0.1111111111111111
90,100000,2448220611,39244,14045238908,35636,1.0,0.42857142857142855,1.0,0.999637595131278,0.0
100,100,2514259192,42184,151153506,40540,1.0,0.3448275862068966,1.0,1.0,0.0
100,1000,2514259192,42184,220639860,40544,1.0,0.38461538461538464,1.0,0.9987515605493134,0.0
100,10000,2514259192,42184,1761058620,40544,1.0,0.4,0.984125,0.9993653211474993,31.3
100,100000,2514259192,42184,15858650672,35640,1.0,0.47619047619047616,1.0,0.9993878749266074,2.3
