threads,read count,build time (ns),build memory (bytes),query time (ns),query memory (bytes)
1,1000000,756626990,38285312,244608960312,4733833216
2,1000000,568544699,38223872,171046039592,4776144896
3,1000000,772886487,37146624,141158451039,4764848128
4,1000000,566111557,36753408,139356448181,4763471872
1,1000000,713061862,37597184,239028816695,4754952192
2,1000000,763715227,38367232,229272133310,4650496000
3,1000000,712109653,37203968,134384768186,4763631616
4,1000000,603668004,37429248,116895827422,4766793728
1,1000000,661441168,38031360,235770916569,4743872512
2,1000000,657089349,38158336,149240601526,4760379392
3,1000000,523158058,37539840,134734642331,4765798400
4,1000000,549269423,37208064,136054573699,4773396480
